Provider,Link,Course Name,Summary,Track,Platform,Hands On,Skill Level,Difficulty,Length,Evidence of Completion
UiPath Academy,https://academy.uipath.com/courses/introduction-to-automation,Introduction to Automation,"A 1-hour beginner course covering automation fundamentals, human-robot collaboration, and building a first simple automation project in UiPath Studio Web to understand business use-cases.","AI Literacy, Technical Skills, Prompt Engineering (Prompt Engineering lightly, but mostly Technical Skills & AI Literacy)",UiPath Studio / Automation Cloud,Yes (includes creating an automation project),Novice,Low,1 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/explore-automation-development-with-uipath-v2024-10,Explore Automation Development with UiPath (v2024.10),"Beginner one-hour introduction to the UiPath platform: its components (Studio, Robot, Orchestrator), setting up Studio and Automation Cloud, and creating your first automation.","Technical Skills, AI Literacy, RPA Skills (RPA mapped under Technical Skills)",UiPath Studio / Orchestrator / Agent / Automation Cloud,"Yes (you build & publish a process, run with Assistant)",Novice,Low,1 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/build-your-first-automation-process-with-studio-v2024-10,Build Your First Automation Process with Studio (v2024.10),"A 1-hour hands-on course guiding you step-by-step to build, debug, publish in Studio, then run your first real business scenario process using Assistant and Orchestrator.","Technical Skills, RPA Skills, Beginner Python Development (weak) (mostly Technical & RPA)",UiPath Studio / Orchestrator / Assistant,Yes (lots of guided hands-on),Novice,Moderate,1 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/variables-constants-and-arguments-in-studio-v2024-10,"Variables, Constants and Arguments in Studio (v2024.10)","1.5-hour beginner course focused on data handling in Studio: variables, types, constants, arguments, workflows and invoking with data-passing, including array types and global variables.","Technical Skills, RPA Skills, Data Science (elements of data handling flow)",UiPath Studio,Yes (practice exercises embedded),Novice,Medium,2 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/control-flow-in-studio-v2024-10,Control Flow in Studio (v2024.10),"A 2-hour 15-minute beginner-level course teaching core control flow constructs (If, Loops, Switch), practice exercises to build logic and sequence/flow control in UiPath workflows.","Technical Skills, RPA Skills, Machine Learning (loosely, logic building foundational to ML pipelines)",UiPath Studio,Yes (multiple practice exercises),Novice,Easy,2 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/data-manipulation-with-strings-in-studio-v2024-10,Data Manipulation with Strings in Studio (v2024.10),"Overview of string manipulation in UiPath Studio: learn methods, properties, RegEx Builder, and string activities via hands-on extraction and manipulation practices.","Technical Skills, RPA Skills, Data Science",UiPath Studio,Yes (hands-on practices),Intermediate,Medium,2 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/data-manipulation-with-lists-and-dictionaries-in-studio-v2024-10,Data Manipulation with Lists and Dictionaries in Studio (v2024.10),"Teaches working with lists and dictionaries in UiPath Studio: initialize, manipulate collections, integrate them into processes.","Technical Skills, RPA Skills",UiPath Studio,Yes (practice exercises),Intermediate,Medium,1 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/data-manipulation-with-data-tables-in-studio-v2024-10,Data Manipulation with DataTables in Studio (v2024.10),"Focuses on DataTable variables: merging, sorting, removing columns, extracting values, writing to string, reading Excel, and best practices.","Data Science, Technical Skills, RPA Skills",UiPath Studio,Yes (exercises in practice),Intermediate,Medium,2 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/debugging-in-studio-v2024-10,Debugging in Studio (v2024.10),"Covers debugging tools in Studio: using breakpoints, panels (Watch, Call Stack, Immediate), and techniques to inspect/fix workflows via hands-on lab.","Technical Skills, RPA Skills",UiPath Studio,Yes (practice),Intermediate,Moderate,2 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/error-and-exception-handling-in-studio-v2024-10,Error and Exception Handling in Studio (v2024.10),"Teaches how to anticipate, detect, and manage exceptions in UiPath Studio using Try Catch, Throw, Rethrow, Retry Scope, and ContinueOnError.","Technical Skills, RPA Skills, Responsible AI (for robustness & reliability)",UiPath Studio,Yes (practice exercises),Intermediate,Medium,1 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/email-automation-in-studio-v2024-10,Email Automation in Studio (v2024.10),"Learn to retrieve, filter, and send emails (via Gmail IMAP/SMTP, Microsoft Office 365, Google Workspace) using UiPath Studio; for those with basic Studio experience.","Technical Skills, RPA Skills",UiPath Studio,Yes (hands-on practices),Intermediate,Medium,2 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/working-with-local-files-and-folders-in-studio-v2024-10,Working with Local Files and Folders in Studio (v2024.10),"Not found / details missing in sources I checked. Likely teaches file system operations (reading, writing, moving files/folders) in UiPath Studio.","Technical Skills, RPA Skills",UiPath Studio,Likely Yes,Intermediate,Medium,1 Hours,"Diploma of completion (UiPath) (assumed, based on pattern)"
UiPath Academy,https://academy.uipath.com/courses/version-control-systems-integration-in-studio-v2024-10,Version Control Systems Integration in Studio,"Overview of version control in UiPath Studio: how to use Git and other VCS, basic operations (clone, commit, push, manage branches) to support team development.","Technical Skills, RPA Skills, MLOps (because version control is part of software engineering best practices)",UiPath Studio / Git etc.,Yes (guided practice),Intermediate,Moderate,1 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/orchestrator-overview-for-automation-developers-v2024-10,Orchestrator Overview for Automation Developers (v2024.10),"No clear info found in the searched sources. Likely covers what Orchestrator is, its role in deploying, managing, scheduling, monitoring robots/processes.","Technical Skills, RPA Skills",UiPath Orchestrator,Likely Yes (interactive/practice),Intermediate,Medium,2 Hours,Diploma of completion (UiPath) (assumed)
UiPath Academy,https://academy.uipath.com/courses/project-organization-in-studio-v2024-10,Project Organization in Studio (v2024.10),"Teaches how to structure Studio projects for maintainability and scalability: workflows layout, libraries, templates, settings, reusable components, best practices.","Technical Skills, RPA Skills, Data Science (loosely, if projects include data-handling workflows)",UiPath Studio,Yes (guided practice),Intermediate,Medium,2 Hours,Diploma of completion (UiPath)
UiPath Academy,https://academy.uipath.com/courses/introduction-to-logging-in-studio-v2024-10,Introduction to Logging in Studio (v2024.10),"Introduces best practices for logging in UiPath Studio projects: types of logs, interpreting robot execution logs, using log message activities.","Technical Skills, RPA Development, Responsible AI*",UiPath Studio,"Yes (practice, add log messages)",Intermediate,Medium,1 Hours,Diploma of completion from UiPath Academy
UiPath Academy,https://academy.uipath.com/courses/workflow-analyzer-in-studio-v2024-10,Workflow Analyzer in Studio (v2024.10),"Teaches how to use the Workflow Analyzer to enforce best practices and governance in UiPath projects, including rules, settings, and analysis.","Technical Skills, RPA Development, Responsible AI*",UiPath Studio,"Yes (practice, project analysis)",Intermediate,Medium,1 Hours,Diploma of completion from UiPath Academy
UiPath Academy,https://academy.uipath.com/courses/uipath-automation-implementation-methodology-fundamentals,UiPath Automation Implementation Methodology Fundamentals,"Offers foundational knowledge of UiPath’s implementation methodology: stages, roles, tools, challenges, project scenarios and a quiz.","Technical Skills, RPA Development, Project Management",UiPath (Studio / Orchestrator),"Yes (challenges, real-life business case)",Intermediate,Moderate,2 Hours,Diploma of completion + final quiz
UiPath Academy,https://academy.uipath.com/courses/uipath-integration-service-overview-v2024-10,UiPath Integration Service Overview (v2024.10),"Covers Integration Service: using connectors, triggers, combining UI & API automation with third-party tools in real business automation scenarios.","Technical Skills, RPA Development, API / Integration",UiPath Integration Service & Studio,Yes (practice with triggers and connections),Intermediate,Moderate,2 Hours,Diploma of completion
UiPath Academy,https://academy.uipath.com/courses/introduction-to-specialized-ai-v2024-10,Introduction to Specialized AI (v2024.10),"Explains what Specialized AI is, its relation to Generative AI, machine learning & NLP basics, and UiPath components used for specialized AI.","AI Literacy, Responsible AI, Machine Learning","UiPath Platform (AI Center, Communications Mining, Document Understanding)","No (mainly overview, no explicit hands-on)",Novice,Easy,1 Hours,Diploma of completion
UiPath Academy,https://academy.uipath.com/courses/uipath-ai-center-overview-v2024-10,UiPath AI Center Overview (v2024.10),"Explains how AI Center helps manage, deploy, and monitor ML in automation workflows; covers deployment options, types of ML models, use cases.","Technical Skills, Machine Learning, RAG",UiPath AI Center,"No (mostly overview, no deep build-activities)",Intermediate,Moderate,1 Hours,Diploma of completion
UiPath Academy,https://academy.uipath.com/courses/uipath-document-understanding-overview-v2024-10,UiPath Document Understanding Overview (v2024.10),"Foundational course covering stages of document processing: digitization, classification, extraction, validation, plus lifecycle and platform components.","Specialized AI, Technical Skills, Machine Learning",UiPath Document Understanding,No (introduction only),Intermediate,Medium,2 Hours,Diploma of completion
